Date,SPX_Index,Large_Value_Index,Small_Growth_Index,EAFE_Index,EM_Index
11/24/2016,5980.6824,1855.2801,883.4211,2888.1266,1458.346
11/25/2016,6004.2127,1862.6897,887.529,2904.547,1464.7943
11/28/2016,5973.4299,1850.6695,874.2054,2893.631,1477.4619
11/29/2016,5982.8125,1850.1301,872.67,2899.7398,1469.4337
11/30/2016,5968.2285,1859.4357,864.4273,2896.31,1477.0916
12/1/2016,5947.4789,1862.3337,853.1641,2898.7961,1469.5604
12/2/2016,5949.8404,1861.6087,854.134,2898.1503,1460.4897
12/5/2016,5985.0769,1872.7688,869.0504,2909.9234,1462.0427
12/6/2016,6005.6457,1882.3089,878.4376,2938.222,1474.9542
12/7/2016,6085.8643,1908.2455,884.5817,2973.216,1485.4997
12/8/2016,6099.6328,1915.8713,898.0277,2977.7624,1505.5769
12/9/2016,6135.9046,1923.6646,897.371,2982.5928,1503.069
12/12/2016,6129.2549,1923.3028,887.8036,2989.3121,1493.5099
12/13/2016,6170.4016,1932.7868,888.7581,3019.0866,1502.0527
12/14/2016,6120.6594,1911.3992,878.4962,3014.6249,1494.4687
12/15/2016,6144.6996,1920.6224,885.182,2958.5978,1470.3704
12/16/2016,6134.1099,1918.0065,884.0574,2966.1349,1466.5909
12/19/2016,6146.3769,1920.9956,887.8649,2976.8148,1457.5707
12/20/2016,6169.6193,1929.6785,893.7695,2970.2087,1457.8813
12/21/2016,6154.6704,1924.3497,887.9207,2976.5643,1457.6714
12/22/2016,6143.9872,1922.4044,877.8392,2977.0762,1443.31
12/23/2016,6151.9344,1924.8179,885.9111,2977.439,1442.0126
12/26/2016,6151.9344,1924.8179,885.9111,2974.2918,1443.491
12/27/2016,6165.8263,1927.8867,889.9254,2973.4028,1447.5284
12/28/2016,6115.3536,1910.6319,878.0636,2969.356,1462.4102
12/29/2016,6113.8567,1909.8121,880.1928,2980.4991,1474.9101
12/30/2016,6085.7971,1905.6868,876.2164,2995.9771,1481.4952
1/2/2017,6085.7971,1905.6868,876.2164,3004.8191,1480.8467
1/3/2017,6137.5867,1921.7612,880.8873,2983.4205,1492.1413
1/4/2017,6174.0949,1933.9449,896.5206,3022.4539,1497.353
1/5/2017,6169.4141,1926.8982,888.8917,3063.3793,1515.0604
1/6/2017,6193.01,1929.0907,886.3971,3049.3267,1514.0122
1/9/2017,6171.0551,1915.9175,885.3014,3039.8792,1509.4244
1/10/2017,6171.0965,1916.4052,892.6995,3051.0205,1521.8992
1/11/2017,6189.1377,1924.9246,892.735,3030.4522,1523.7229
1/12/2017,6175.9932,1918.6756,887.9135,3064.3295,1540.756
1/13/2017,6187.4179,1921.9608,896.1459,3074.2756,1539.6373
1/16/2017,6187.4179,1921.9608,896.1459,3054.3494,1527.8325
1/17/2017,6169.0567,1911.6251,882.6216,3064.349,1537.7304
1/18/2017,6180.9483,1916.0165,886.5916,3069.3133,1542.9199
1/19/2017,6158.7571,1907.9338,877.9758,3046.7694,1537.1381
1/20/2017,6179.6571,1916.9119,881.2829,3059.8662,1535.0073
1/23/2017,6163.2175,1906.8152,878.4192,3067.3426,1550.2903
1/24/2017,6203.6792,1922.3393,891.5108,3070.3134,1561.4823
1/25/2017,6253.4968,1938.5998,900.2004,3099.4686,1567.5733
1/26/2017,6249.019,1937.3458,894.1747,3095.6015,1575.4361
1/27/2017,6243.9397,1931.8317,892.4582,3099.5399,1574.0441
1/30/2017,6206.7072,1918.2033,882.3881,3079.6179,1569.1807
1/31/2017,6201.2223,1919.2639,890.4355,3083.1418,1562.5495
2/1/2017,6204.459,1915.4641,890.3554,3087.2104,1569.053
2/2/2017,6208.3816,1918.9666,887.6708,3091.0973,1572.8797
2/3/2017,6254.0436,1937.5373,900.216,3100.7457,1579.1698
2/6/2017,6240.84,1931.3244,893.408,3080.7998,1586.2558
2/7/2017,6242.537,1926.6942,890.9833,3075.3473,1580.9083
2/8/2017,6248.864,1926.3645,891.3949,3093.5061,1584.1396
2/9/2017,6285.9588,1939.5103,905.276,3087.6229,1590.8456
2/10/2017,6308.7619,1947.5103,911.2955,3100.2283,1598.7373
2/13/2017,6343.4599,1959.3703,912.0643,3114.247,1607.8296
2/14/2017,6370.7004,1968.7445,914.0104,3094.4654,1605.4781
2/15/2017,6403.4432,1977.7635,920.9853,3114.2449,1618.7371
2/16/2017,6398.5485,1975.6838,916.9988,3134.9447,1625.4597
2/17/2017,6409.4254,1977.6414,919.5785,3127.0805,1614.2045
2/20/2017,6409.4254,1977.6414,919.5785,3128.244,1622.0402
2/21/2017,6448.196,1991.6257,925.6804,3125.6476,1625.9265
2/22/2017,6441.8038,1986.4646,920.6679,3132.6428,1635.093
2/23/2017,6445.2621,1989.4201,912.8885,3146.8603,1637.1225
2/24/2017,6456.4213,1989.4289,915.3592,3122.8255,1622.4175
2/27/2017,6463.913,1993.2363,926.3841,3121.3339,1616.9644
2/28/2017,6447.4437,1988.1969,912.2131,3127.6496,1610.2277
3/1/2017,6536.7842,2017.6878,929.2012,3140.5445,1614.0587
3/2/2017,6498.9998,2002.4953,920.8185,3139.5285,1610.6485
3/3/2017,6502.4576,2003.4118,920.2011,3137.4103,1601.565
3/6/2017,6481.2825,1995.7274,913.6656,3137.843,1607.4035
3/7/2017,6462.824,1988.035,907.6561,3129.5107,1611.0753
3/8/2017,6449.9473,1977.2234,905.3908,3117.9585,1608.4778
3/9/2017,6455.1727,1978.5593,902.9118,3121.8859,1588.0713
3/10/2017,6476.3978,1984.187,908.2658,3150.6724,1593.5881
3/13/2017,6480.8795,1984.4039,911.6998,3165.6733,1614.896
3/14/2017,6459.2798,1976.9014,905.5009,3152.8016,1617.5055
3/15/2017,6513.5904,1995.6343,920.3835,3159.2607,1623.796
3/16/2017,6503.2355,1992.9698,920.8852,3211.9901,1657.8495
3/17/2017,6494.7187,1988.3701,924.0063,3216.5961,1661.9287
3/20/2017,6481.8521,1981.0041,921.668,3217.3498,1673.6389
3/21/2017,6402.0097,1953.0035,897.7119,3219.5826,1674.8988
3/22/2017,6414.3305,1953.2406,898.9896,3191.8342,1664.8224
3/23/2017,6407.6045,1953.616,902.4404,3206.7188,1666.647
3/24/2017,6402.1965,1950.8819,904.7868,3215.4603,1668.8286
3/27/2017,6395.6686,1946.328,908.0735,3216.0305,1662.9873
3/28/2017,6442.1127,1963.084,912.5135,3241.56,1670.9715
3/29/2017,6450.3974,1964.4001,916.023,3231.2438,1674.1713
3/30/2017,6469.5398,1973.8597,919.9406,3233.145,1670.4541
3/31/2017,6454.9644,1967.9394,923.0174,3217.6009,1651.3668
4/3/2017,6444.6785,1963.474,911.8758,3205.3984,1663.2024
4/4/2017,6449.332,1966.8867,909.7644,3206.5291,1663.4028
4/5/2017,6430.282,1959.1886,899.8608,3205.1335,1670.6739
4/6/2017,6444.5974,1966.1843,906.6672,3197.1043,1660.4763
